code,fk_name,parent,concept_name,source,standard_semantic_hierarchy
27-2010,"Actors, Producers, and Directors",None,Broad Occupation SOC Code,2018 SOC,No
27-2020,"Athletes, Coaches, Umpires, and Related Workers",None,Broad Occupation SOC Code,2018 SOC,No
27-2030,Dancers and Choreographers,None,Broad Occupation SOC Code,2018 SOC,No
27-2040,"Musicians, Singers, and Related Workers",None,Broad Occupation SOC Code,2018 SOC,No
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",None,Broad Occupation SOC Code,2018 SOC,No
27-3010,Broadcast Announcers and Radio Disc Jockeys,None,Broad Occupation SOC Code,2018 SOC,No
27-3020,"News Analysts, Reporters and Journalists",None,Broad Occupation SOC Code,2018 SOC,No
27-3030,Public Relations Specialists,None,Broad Occupation SOC Code,2018 SOC,No
27-3040,Writers and Editors,None,Broad Occupation SOC Code,2018 SOC,No
27-3090,Miscellaneous Media and Communication Workers,None,Broad Occupation SOC Code,2018 SOC,No
27-4010,"Broadcast, Sound, and Lighting Technicians",None,Broad Occupation SOC Code,2018 SOC,No
27-4020,Photographers,None,Broad Occupation SOC Code,2018 SOC,No
27-4030,"Television, Video, and Film Camera Operators and Editors",None,Broad Occupation SOC Code,2018 SOC,No
27-4090,Miscellaneous Media and Communication Equipment Workers,None,Broad Occupation SOC Code,2018 SOC,No
29-1010,Chiropractors,None,Broad Occupation SOC Code,2018 SOC,No
29-1020,Dentists,None,Broad Occupation SOC Code,2018 SOC,No
29-1030,Dietitians and Nutritionists,None,Broad Occupation SOC Code,2018 SOC,No
29-1040,Optometrists,None,Broad Occupation SOC Code,2018 SOC,No
29-1050,Pharmacists,None,Broad Occupation SOC Code,2018 SOC,No
29-1070,Physician Assistants,None,Broad Occupation SOC Code,2018 SOC,No
29-1080,Podiatrists,None,Broad Occupation SOC Code,2018 SOC,No
29-1120,Therapists,None,Broad Occupation SOC Code,2018 SOC,No
29-1130,Veterinarians,None,Broad Occupation SOC Code,2018 SOC,No
29-1140,Registered Nurses,None,Broad Occupation SOC Code,2018 SOC,No
29-1150,Nurse Anesthetists,None,Broad Occupation SOC Code,2018 SOC,No
29-1160,Nurse Midwives,None,Broad Occupation SOC Code,2018 SOC,No
29-1170,Nurse Practitioners,None,Broad Occupation SOC Code,2018 SOC,No
29-1180,Audiologists,None,Broad Occupation SOC Code,2018 SOC,No
29-1210,Physicians,None,Broad Occupation SOC Code,2018 SOC,No
29-1240,Surgeons,None,Broad Occupation SOC Code,2018 SOC,No
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,None,Broad Occupation SOC Code,2018 SOC,No
29-2010,Clinical Laboratory Technologists and Technicians,None,Broad Occupation SOC Code,2018 SOC,No
29-2030,Diagnostic Related Technologists and Technicians,None,Broad Occupation SOC Code,2018 SOC,No
29-2040,Emergency Medical Technicians and Paramedics,None,Broad Occupation SOC Code,2018 SOC,No
29-2050,Health Practitioner Support Technologists and Technicians,None,Broad Occupation SOC Code,2018 SOC,No
29-2060,Licensed Practical and Licensed Vocational Nurses,None,Broad Occupation SOC Code,2018 SOC,No
29-2070,Medical Records Specialists,None,Broad Occupation SOC Code,2018 SOC,No
29-2080,"Opticians, Dispensing",None,Broad Occupation SOC Code,2018 SOC,No
29-2090,Miscellaneous Health Technologists and Technicians,None,Broad Occupation SOC Code,2018 SOC,No
29-9020,Health Information Technologists and Medical Registrars,None,Broad Occupation SOC Code,2018 SOC,No
29-9090,Miscellaneous Health Practitioners and Technical Workers,None,Broad Occupation SOC Code,2018 SOC,No
31-1120,Home Health and Personal Care Aides,None,Broad Occupation SOC Code,2018 SOC,No
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",None,Broad Occupation SOC Code,2018 SOC,No
31-2010,Occupational Therapy Assistants and Aides,None,Broad Occupation SOC Code,2018 SOC,No
31-2020,Physical Therapist Assistants and Aides,None,Broad Occupation SOC Code,2018 SOC,No
31-9010,Massage Therapists,None,Broad Occupation SOC Code,2018 SOC,No
31-9090,Miscellaneous Healthcare Support Occupations,None,Broad Occupation SOC Code,2018 SOC,No
33-1010,First-Line Supervisors of Law Enforcement Workers,None,Broad Occupation SOC Code,2018 SOC,No
33-1020,First-Line Supervisors of Firefighting and Prevention Workers,None,Broad Occupation SOC Code,2018 SOC,No
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",None,Broad Occupation SOC Code,2018 SOC,No
33-2010,Firefighters,None,Broad Occupation SOC Code,2018 SOC,No
33-2020,Fire Inspectors,None,Broad Occupation SOC Code,2018 SOC,No
33-3010,"Bailiffs, Correctional Officers, and Jailers",None,Broad Occupation SOC Code,2018 SOC,No
33-3020,Detectives and Criminal Investigators,None,Broad Occupation SOC Code,2018 SOC,No
33-3030,Fish and Game Wardens,None,Broad Occupation SOC Code,2018 SOC,No
33-3040,Parking Enforcement Workers,None,Broad Occupation SOC Code,2018 SOC,No
33-3050,Police Officers,None,Broad Occupation SOC Code,2018 SOC,No
33-9010,Animal Control Workers,None,Broad Occupation SOC Code,2018 SOC,No
33-9020,Private Detectives and Investigators,None,Broad Occupation SOC Code,2018 SOC,No
33-9030,Security Guards and Gambling Surveillance Officers,None,Broad Occupation SOC Code,2018 SOC,No
33-9090,Miscellaneous Protective Service Workers,None,Broad Occupation SOC Code,2018 SOC,No
35-1010,Supervisors of Food Preparation and Serving Workers,None,Broad Occupation SOC Code,2018 SOC,No
35-2010,Cooks,None,Broad Occupation SOC Code,2018 SOC,No
35-2020,Food Preparation Workers,None,Broad Occupation SOC Code,2018 SOC,No
35-3010,Bartenders,None,Broad Occupation SOC Code,2018 SOC,No
35-3020,Fast Food and Counter Workers,None,Broad Occupation SOC Code,2018 SOC,No
35-3030,Waiters and Waitresses,None,Broad Occupation SOC Code,2018 SOC,No
35-3040,"Food Servers, Nonrestaurant",None,Broad Occupation SOC Code,2018 SOC,No
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,None,Broad Occupation SOC Code,2018 SOC,No
35-9020,Dishwashers,None,Broad Occupation SOC Code,2018 SOC,No
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",None,Broad Occupation SOC Code,2018 SOC,No
35-9090,Miscellaneous Food Preparation and Serving Related Workers,None,Broad Occupation SOC Code,2018 SOC,No
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,None,Broad Occupation SOC Code,2018 SOC,No
37-2010,Building Cleaning Workers,None,Broad Occupation SOC Code,2018 SOC,No
37-2020,Pest Control Workers,None,Broad Occupation SOC Code,2018 SOC,No
37-3010,Grounds Maintenance Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-1010,First-Line Supervisors of Entertainment and Recreation Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-1020,First-Line Supervisors of Personal Service Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-2010,Animal Trainers,None,Broad Occupation SOC Code,2018 SOC,No
39-2020,Animal Caretakers,None,Broad Occupation SOC Code,2018 SOC,No
39-3010,Gambling Services Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-3020,Motion Picture Projectionists,None,Broad Occupation SOC Code,2018 SOC,No
39-3030,"Ushers, Lobby Attendants, and Ticket Takers",None,Broad Occupation SOC Code,2018 SOC,No
39-3090,Miscellaneous Entertainment Attendants and Related Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-4010,Embalmers and Crematory Operators,None,Broad Occupation SOC Code,2018 SOC,No
39-4020,Funeral Attendants,None,Broad Occupation SOC Code,2018 SOC,No
39-4030,"Morticians, Undertakers, and Funeral Arrangers",None,Broad Occupation SOC Code,2018 SOC,No
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",None,Broad Occupation SOC Code,2018 SOC,No
39-5090,Miscellaneous Personal Appearance Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-6010,"Baggage Porters, Bellhops, and Concierges",None,Broad Occupation SOC Code,2018 SOC,No
39-7010,Tour and Travel Guides,None,Broad Occupation SOC Code,2018 SOC,No
39-9010,Childcare Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-9030,Recreation and Fitness Workers,None,Broad Occupation SOC Code,2018 SOC,No
39-9040,Residential Advisors,None,Broad Occupation SOC Code,2018 SOC,No
39-9090,Miscellaneous Personal Care and Service Workers,None,Broad Occupation SOC Code,2018 SOC,No
41-1010,First-Line Supervisors of Sales Workers,None,Broad Occupation SOC Code,2018 SOC,No
41-2010,Cashiers,None,Broad Occupation SOC Code,2018 SOC,No
41-2020,Counter and Rental Clerks and Parts Salespersons,None,Broad Occupation SOC Code,2018 SOC,No
41-2030,Retail Salespersons,None,Broad Occupation SOC Code,2018 SOC,No
41-3010,Advertising Sales Agents,None,Broad Occupation SOC Code,2018 SOC,No
41-3020,Insurance Sales Agents,None,Broad Occupation SOC Code,2018 SOC,No
41-3030,"Securities, Commodities, and Financial Services Sales Agents",None,Broad Occupation SOC Code,2018 SOC,No
41-3040,Travel Agents,None,Broad Occupation SOC Code,2018 SOC,No
41-3090,"Miscellaneous Sales Representatives, Services",None,Broad Occupation SOC Code,2018 SOC,No
41-4010,"Sales Representatives, Wholesale and Manufacturing",None,Broad Occupation SOC Code,2018 SOC,No
41-9010,"Models, Demonstrators, and Product Promoters",None,Broad Occupation SOC Code,2018 SOC,No
41-9020,Real Estate Brokers and Sales Agents,None,Broad Occupation SOC Code,2018 SOC,No
41-9030,Sales Engineers,None,Broad Occupation SOC Code,2018 SOC,No
41-9040,Telemarketers,None,Broad Occupation SOC Code,2018 SOC,No
41-9090,Miscellaneous Sales and Related Workers,None,Broad Occupation SOC Code,2018 SOC,No
43-1010,First-Line Supervisors of Office and Administrative Support Workers,None,Broad Occupation SOC Code,2018 SOC,No
43-2010,"Switchboard Operators, Including Answering Service",None,Broad Occupation SOC Code,2018 SOC,No
43-2020,Telephone Operators,None,Broad Occupation SOC Code,2018 SOC,No
43-2090,Miscellaneous Communications Equipment Operators,None,Broad Occupation SOC Code,2018 SOC,No
43-3010,Bill and Account Collectors,None,Broad Occupation SOC Code,2018 SOC,No
43-3020,Billing and Posting Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-3030,"Bookkeeping, Accounting, and Auditing Clerks",None,Broad Occupation SOC Code,2018 SOC,No
43-3040,Gambling Cage Workers,None,Broad Occupation SOC Code,2018 SOC,No
43-3050,Payroll and Timekeeping Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-3060,Procurement Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-3070,Tellers,None,Broad Occupation SOC Code,2018 SOC,No
43-3090,Miscellaneous Financial Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4010,Brokerage Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4020,Correspondence Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4030,"Court, Municipal, and License Clerks",None,Broad Occupation SOC Code,2018 SOC,No
43-4040,"Credit Authorizers, Checkers, and Clerks",None,Broad Occupation SOC Code,2018 SOC,No
43-4050,Customer Service Representatives,None,Broad Occupation SOC Code,2018 SOC,No
43-4060,"Eligibility Interviewers, Government Programs",None,Broad Occupation SOC Code,2018 SOC,No
43-4070,File Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4080,"Hotel, Motel, and Resort Desk Clerks",None,Broad Occupation SOC Code,2018 SOC,No
43-4110,"Interviewers, Except Eligibility and Loan",None,Broad Occupation SOC Code,2018 SOC,No
43-4120,"Library Assistants, Clerical",None,Broad Occupation SOC Code,2018 SOC,No
43-4130,Loan Interviewers and Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4140,New Accounts Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4150,Order Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",None,Broad Occupation SOC Code,2018 SOC,No
43-4170,Receptionists and Information Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-4190,Miscellaneous Information and Record Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-5010,Cargo and Freight Agents,None,Broad Occupation SOC Code,2018 SOC,No
43-5020,Couriers and Messengers,None,Broad Occupation SOC Code,2018 SOC,No
43-5030,Dispatchers,None,Broad Occupation SOC Code,2018 SOC,No
43-5040,"Meter Readers, Utilities",None,Broad Occupation SOC Code,2018 SOC,No
43-5050,Postal Service Workers,None,Broad Occupation SOC Code,2018 SOC,No
43-5060,"Production, Planning, and Expediting Clerks",None,Broad Occupation SOC Code,2018 SOC,No
43-5070,"Shipping, Receiving, and Inventory Clerks",None,Broad Occupation SOC Code,2018 SOC,No
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",None,Broad Occupation SOC Code,2018 SOC,No
43-6010,Secretaries and Administrative Assistants,None,Broad Occupation SOC Code,2018 SOC,No
43-9020,Data Entry and Information Processing Workers,None,Broad Occupation SOC Code,2018 SOC,No
43-9030,Desktop Publishers,None,Broad Occupation SOC Code,2018 SOC,No
43-9040,Insurance Claims and Policy Processing Clerks,None,Broad Occupation SOC Code,2018 SOC,No
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",None,Broad Occupation SOC Code,2018 SOC,No
43-9060,"Office Clerks, General",None,Broad Occupation SOC Code,2018 SOC,No
43-9070,"Office Machine Operators, Except Computer",None,Broad Occupation SOC Code,2018 SOC,No
43-9080,Proofreaders and Copy Markers,None,Broad Occupation SOC Code,2018 SOC,No
43-9110,Statistical Assistants,None,Broad Occupation SOC Code,2018 SOC,No
43-9190,Miscellaneous Office and Administrative Support Workers,None,Broad Occupation SOC Code,2018 SOC,No
45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",None,Broad Occupation SOC Code,2018 SOC,No
45-2010,Agricultural Inspectors,None,Broad Occupation SOC Code,2018 SOC,No
45-2020,Animal Breeders,None,Broad Occupation SOC Code,2018 SOC,No
45-2040,"Graders and Sorters, Agricultural Products",None,Broad Occupation SOC Code,2018 SOC,No
45-2090,Miscellaneous Agricultural Workers,None,Broad Occupation SOC Code,2018 SOC,No
45-3030,Fishing and Hunting Workers,None,Broad Occupation SOC Code,2018 SOC,No
45-4010,Forest and Conservation Workers,None,Broad Occupation SOC Code,2018 SOC,No
45-4020,Logging Workers,None,Broad Occupation SOC Code,2018 SOC,No
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,None,Broad Occupation SOC Code,2018 SOC,No
47-2010,Boilermakers,None,Broad Occupation SOC Code,2018 SOC,No
47-2020,"Brickmasons, Blockmasons, and Stonemasons",None,Broad Occupation SOC Code,2018 SOC,No
47-2030,Carpenters,None,Broad Occupation SOC Code,2018 SOC,No
47-2040,"Carpet, Floor, and Tile Installers and Finishers",None,Broad Occupation SOC Code,2018 SOC,No
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",None,Broad Occupation SOC Code,2018 SOC,No
47-2060,Construction Laborers,None,Broad Occupation SOC Code,2018 SOC,No
47-2070,Construction Equipment Operators,None,Broad Occupation SOC Code,2018 SOC,No
