fk_index_item_description,code,parent,concept_name,source,standard_semantic_hierarchy
"String bean farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Sweet corn farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Sweet pepper farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Taro farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Tomato farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Truck farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Turnip farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Vegetable and melon farming, vegetable (except potato) and melon dominant crops, field, bedding plants and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Vegetable and potato farming, vegetable (except potato) dominant crops, field, bedding plants and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Watermelon farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Zucchini farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
Orange groves,111310,None,NAICS Index Item Description Code,2022 NAICS,No
Citrus groves (except orange),111320,None,NAICS Index Item Description Code,2022 NAICS,No
Grapefruit groves,111320,None,NAICS Index Item Description Code,2022 NAICS,No
Lemon groves,111320,None,NAICS Index Item Description Code,2022 NAICS,No
Lime groves,111320,None,NAICS Index Item Description Code,2022 NAICS,No
Mandarin groves,111320,None,NAICS Index Item Description Code,2022 NAICS,No
Tangelo groves,111320,None,NAICS Index Item Description Code,2022 NAICS,No
Tangerine groves,111320,None,NAICS Index Item Description Code,2022 NAICS,No
Apple orchards,111331,None,NAICS Index Item Description Code,2022 NAICS,No
Grape farming without making wine,111332,None,NAICS Index Item Description Code,2022 NAICS,No
Raisin farming,111332,None,NAICS Index Item Description Code,2022 NAICS,No
Strawberry farming,111333,None,NAICS Index Item Description Code,2022 NAICS,No
Berry (except strawberry) farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Blackberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Blueberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Boysenberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Cranberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Currant farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Dewberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Gooseberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Huckleberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Loganberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Raspberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Youngberry farming,111334,None,NAICS Index Item Description Code,2022 NAICS,No
Almond farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Brazil nut farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Cashew farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Filbert farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Hazelnut farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Macadamia farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Pecan farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Pistachio farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Tree nut farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Walnut farming,111335,None,NAICS Index Item Description Code,2022 NAICS,No
Fruit and tree nut combination farming,111336,None,NAICS Index Item Description Code,2022 NAICS,No
Apricot farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Avocado farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Banana farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Cactus fruit farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Cherry farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Coconut tree farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Coffee farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Date farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
"Deciduous tree fruit (except apples, citrus) farming",111339,None,NAICS Index Item Description Code,2022 NAICS,No
Fig farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Guava farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Kiwi fruit farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Mango farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Nectarine farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Noncitrus fruit farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Olive farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Papaya farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Passion fruit farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Peach farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Pear farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Persimmon farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Pineapple farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Plantain farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Plum farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Pomegranate farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Prickly pear farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Prune farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Quince farming,111339,None,NAICS Index Item Description Code,2022 NAICS,No
Mushroom farming,111411,None,NAICS Index Item Description Code,2022 NAICS,No
Mushroom spawn farming,111411,None,NAICS Index Item Description Code,2022 NAICS,No
Shitake mushroom farming,111411,None,NAICS Index Item Description Code,2022 NAICS,No
"Alfalfa sprout farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Bean sprout farming,  grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Cannabis, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Cucumber farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Eggplant farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Endive farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"English pea farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Escarole farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Fruit farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Garlic farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Gingerroot farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Ginseng farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Hemp, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Herb farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
Hydroponic crop farming,111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Marijuana, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Melon farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Rhubarb, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Spice farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Tomato farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Truffles farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
"Vegetable farming, grown under cover",111419,None,NAICS Index Item Description Code,2022 NAICS,No
Azalea farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Christmas tree growing,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Corms farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
"Field nurseries (i.e., growing of flowers and shrubbery)",111421,None,NAICS Index Item Description Code,2022 NAICS,No
Flower bulb growing,111421,None,NAICS Index Item Description Code,2022 NAICS,No
"Fruit stock (e.g., plants, seedlings, trees) growing",111421,None,NAICS Index Item Description Code,2022 NAICS,No
Herbaceous perennial growing,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Nursery stock growing,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Nursery with tree production (except for reforestation),111421,None,NAICS Index Item Description Code,2022 NAICS,No
Preseeded mat farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Propagation material farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Rose bush growing,111421,None,NAICS Index Item Description Code,2022 NAICS,No
"Short rotation woody tree growing (i.e., growing and harvesting cycle ten years or less)",111421,None,NAICS Index Item Description Code,2022 NAICS,No
Shrubbery farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Sod farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Tissue culture farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
"Tree crop farming (except forestry), short rotation growing and harvesting cycle",111421,None,NAICS Index Item Description Code,2022 NAICS,No
Turf farming,111421,None,NAICS Index Item Description Code,2022 NAICS,No
Bedding plant growing (except vegetable and melon bedding plants),111422,None,NAICS Index Item Description Code,2022 NAICS,No
Cultivated florist greens growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Cut flower growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Cut rose growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Cuttings farming,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Flower growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Flower seed production,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Foliage growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Hanging basket plant growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
House plant growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
Ornamental plant growing,111422,None,NAICS Index Item Description Code,2022 NAICS,No
"Plant, ornamental, growing",111422,None,NAICS Index Item Description Code,2022 NAICS,No
"Plant, potted flower and foliage, growing",111422,None,NAICS Index Item Description Code,2022 NAICS,No
"Plug (i.e., floriculture products) growing",111422,None,NAICS Index Item Description Code,2022 NAICS,No
"Tobacco farming, field and seed production",111910,None,NAICS Index Item Description Code,2022 NAICS,No
"Cotton farming, field and seed production",111920,None,NAICS Index Item Description Code,2022 NAICS,No
Cottonseed farming,111920,None,NAICS Index Item Description Code,2022 NAICS,No
"Cane farming, sugar, field production",111930,None,NAICS Index Item Description Code,2022 NAICS,No
"Sugarcane farming, field production",111930,None,NAICS Index Item Description Code,2022 NAICS,No
Alfalfa hay farming,111940,None,NAICS Index Item Description Code,2022 NAICS,No
Clover hay farming,111940,None,NAICS Index Item Description Code,2022 NAICS,No
Grass hay farming,111940,None,NAICS Index Item Description Code,2022 NAICS,No
"Hay farming (e.g., alfalfa hay, clover hay, grass hay)",111940,None,NAICS Index Item Description Code,2022 NAICS,No
Mixed hay farming,111940,None,NAICS Index Item Description Code,2022 NAICS,No
Sugar beet farming,111991,None,NAICS Index Item Description Code,2022 NAICS,No
Peanut farming,111992,None,NAICS Index Item Description Code,2022 NAICS,No
Agave farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Alfalfa seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Aloe farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Amaranth farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Bentgrass seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Bluegrass-Kentucky seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Cannabis, grown in an open field",111998,None,NAICS Index Item Description Code,2022 NAICS,No
Chicory farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Clover seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Crimson cloves seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Fescue seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
"General combination crop farming (except fruit and nut combinations, oilseed and grain, vegetable)",111998,None,NAICS Index Item Description Code,2022 NAICS,No
Grass seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Guar farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Hay seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Hemp, grown in an open field",111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Herb farming, open field",111998,None,NAICS Index Item Description Code,2022 NAICS,No
Hop farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Jojoba farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Kenaf farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Maple sap concentrating (i.e., producing pure maple syrup in the field)",111998,None,NAICS Index Item Description Code,2022 NAICS,No
Maple sap gathering,111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Maple syrup (i.e., maple sap reducing)",111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Marijuana, grown in an open field",111998,None,NAICS Index Item Description Code,2022 NAICS,No
Mint farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Orchard grass seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Ryegrass seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Sorghum sudan seed farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
Spice farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Syrup, pure maple (i.e., maple syrup reducing)",111998,None,NAICS Index Item Description Code,2022 NAICS,No
Tea farming,111998,None,NAICS Index Item Description Code,2022 NAICS,No
"Backgrounding, cattle",112111,None,NAICS Index Item Description Code,2022 NAICS,No
Beef cattle ranching or farming,112111,None,NAICS Index Item Description Code,2022 NAICS,No
"Calf (e.g., feeder, stocker, veal) production",112111,None,NAICS Index Item Description Code,2022 NAICS,No
Cattle conditioning operations,112111,None,NAICS Index Item Description Code,2022 NAICS,No
Cattle farming or ranching,112111,None,NAICS Index Item Description Code,2022 NAICS,No
Dairy heifer replacement production,112111,None,NAICS Index Item Description Code,2022 NAICS,No
Feeder calf production,112111,None,NAICS Index Item Description Code,2022 NAICS,No
Stocker calf production,112111,None,NAICS Index Item Description Code,2022 NAICS,No
Veal calf production,112111,None,NAICS Index Item Description Code,2022 NAICS,No
Beef cattle feedlots (except stockyards for transportation),112112,None,NAICS Index Item Description Code,2022 NAICS,No
Cattle feedlots (except stockyards for transportation),112112,None,NAICS Index Item Description Code,2022 NAICS,No
Fattening cattle,112112,None,NAICS Index Item Description Code,2022 NAICS,No
"Feed yards (except stockyards for transportation), cattle",112112,None,NAICS Index Item Description Code,2022 NAICS,No
"Feedlots (except stockyards for transportation), cattle",112112,None,NAICS Index Item Description Code,2022 NAICS,No
Dairy cattle farming,112120,None,NAICS Index Item Description Code,2022 NAICS,No
"Milk production, dairy cattle",112120,None,NAICS Index Item Description Code,2022 NAICS,No
Milking dairy cattle,112120,None,NAICS Index Item Description Code,2022 NAICS,No
Farrow-to-finish operations,112210,None,NAICS Index Item Description Code,2022 NAICS,No
Feeder pig farming,112210,None,NAICS Index Item Description Code,2022 NAICS,No
"Feedlots (except stockyards for transportation), hog",112210,None,NAICS Index Item Description Code,2022 NAICS,No
"Hog and pig (including breeding, farrowing, nursery, and finishing activities) farming",112210,None,NAICS Index Item Description Code,2022 NAICS,No
Hog feedlots (except stockyards for transportation),112210,None,NAICS Index Item Description Code,2022 NAICS,No
Pig farming,112210,None,NAICS Index Item Description Code,2022 NAICS,No
Swine farming,112210,None,NAICS Index Item Description Code,2022 NAICS,No
Weaning pig operations,112210,None,NAICS Index Item Description Code,2022 NAICS,No
Chicken egg production,112310,None,NAICS Index Item Description Code,2022 NAICS,No
"Chicken eggs (table, hatching) production",112310,None,NAICS Index Item Description Code,2022 NAICS,No
Cull hen production,112310,None,NAICS Index Item Description Code,2022 NAICS,No
"Egg production, chicken",112310,None,NAICS Index Item Description Code,2022 NAICS,No
"Eggs, chicken (table, hatching) production",112310,None,NAICS Index Item Description Code,2022 NAICS,No
Layer-type chicken production,112310,None,NAICS Index Item Description Code,2022 NAICS,No
Started pullet production,112310,None,NAICS Index Item Description Code,2022 NAICS,No
Broiler chicken production,112320,None,NAICS Index Item Description Code,2022 NAICS,No
Chicken production (except egg laying),112320,None,NAICS Index Item Description Code,2022 NAICS,No
Cornish hen production,112320,None,NAICS Index Item Description Code,2022 NAICS,No
Fryer chicken production,112320,None,NAICS Index Item Description Code,2022 NAICS,No
Roaster chicken production,112320,None,NAICS Index Item Description Code,2022 NAICS,No
"Egg production, turkey",112330,None,NAICS Index Item Description Code,2022 NAICS,No
Turkey egg production,112330,None,NAICS Index Item Description Code,2022 NAICS,No
Turkey production,112330,None,NAICS Index Item Description Code,2022 NAICS,No
Chicken hatcheries,112340,None,NAICS Index Item Description Code,2022 NAICS,No
"Egg hatcheries, poultry",112340,None,NAICS Index Item Description Code,2022 NAICS,No
"Hatcheries, poultry",112340,None,NAICS Index Item Description Code,2022 NAICS,No
Poultry hatcheries,112340,None,NAICS Index Item Description Code,2022 NAICS,No
Turkey hatcheries,112340,None,NAICS Index Item Description Code,2022 NAICS,No
Chukar partridge production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Duck production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Emu production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Geese production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Hungarian partridge production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Ostrich production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Partridge production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Pheasant production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Quail production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Ratite production,112390,None,NAICS Index Item Description Code,2022 NAICS,No
Dairy sheep farming,112410,None,NAICS Index Item Description Code,2022 NAICS,No
"Feedlots (except stockyards for transportation), lamb",112410,None,NAICS Index Item Description Code,2022 NAICS,No
Lamb feedlots (except stockyards for transportation),112410,None,NAICS Index Item Description Code,2022 NAICS,No
Milking dairy sheep,112410,None,NAICS Index Item Description Code,2022 NAICS,No
"Sheep farming (e.g., meat, milk, wool production)",112410,None,NAICS Index Item Description Code,2022 NAICS,No
Angora goat farming,112420,None,NAICS Index Item Description Code,2022 NAICS,No
Dairy goat farming,112420,None,NAICS Index Item Description Code,2022 NAICS,No
"Goat farming (e.g., meat, milk, mohair production)",112420,None,NAICS Index Item Description Code,2022 NAICS,No
Milking dairy goat,112420,None,NAICS Index Item Description Code,2022 NAICS,No
Mohair farming,112420,None,NAICS Index Item Description Code,2022 NAICS,No
"Baitfish production, farm raising",112511,None,NAICS Index Item Description Code,2022 NAICS,No
"Catfish production, farm raising",112511,None,NAICS Index Item Description Code,2022 NAICS,No
"Finfish production, farm raising",112511,None,NAICS Index Item Description Code,2022 NAICS,No
"Finfish, hatcheries",112511,None,NAICS Index Item Description Code,2022 NAICS,No
"Fish farms, finfish",112511,None,NAICS Index Item Description Code,2022 NAICS,No
"Goldfish production, farm raising",112511,None,NAICS Index Item Description Code,2022 NAICS,No
"Hatcheries, finfish",112511,None,NAICS Index Item Description Code,2022 NAICS,No
